"This is the raw data from the institution: University of Alberta please edit as needed"
id,host,university_title,country,province_state,type,note,created,updated
,calendar.ualberta.ca,"University of Alberta",Canada,Alberta,University,,,
id,university_id,course_title,course_subtitle,course_lettercode,course_number,course_code,course_subject,credit,term,year,campus,description,note,created,updated
,,"Individual Research Project III",,ACCTG,497,,,3,"either term",2016-2017,,"Special Study for advanced undergraduates. Prerequisites: ACCTG 496, consent of the Instructor and Assistant Dean, Undergraduate Program.","(fi 6) ",,
,,"Introduction to Financial Reporting and Analysis",,ACCTG,501,,,3,"either term",2016-2017,,"Accounting information's role in recording and reporting on economic and business events including the primary financial statements: balance sheet, income statement, and cash flow. Concepts and purposes underlying financial reporting. Selection of accounting policies and their informational effects for external users. The course begins to develop students' abilities to evaluate and interpret financial information through basic financial analysis.","(fi 6) ",,
,,"Accounting Information and Internal Decision Making",,ACCTG,523,,,3,"either term",2016-2017,,"Accounting concepts used by managers in planning and decision-making. The course introduces concepts of cost and profit behavior, contribution margin, and activity-based costing, as well as relevant costs and revenues for production, marketing and capital budgeting decisions. The course also introduces students to the management planning and control system and its components - budgets, variance analysis, performance evaluation in centralized and decentralized organizations, and management compensation plans. The importance of designing a system to fit the organizations' strategy is emphasized. Prerequisite: ACCTG 501.","(fi 6) ",,
,,"Case Studies in Accounting",,ACCTG,601,,,3,"either term",2016-2017,,"Develops students' competence in analyzing case studies in financial and managerial accounting. Topics covered include identification of financial and managerial reporting needs, preparation of financial reports, planning budgeting and forecasting, governance, and enterprise risk management. Open to students enrolled in the MAcc program only.","(fi 6) ",,
,,"Financial Reporting for Managers and Analysts",,ACCTG,610,,,3,"either term",2016-2017,,"Intended for students who would like to build on the financial accounting knowledge developed in ACCTG 501, and is especially useful for those contemplating a career in financial management. Useful both as a stand-alone course and as a foundation for further study in financial statement analysis. Provides further depth in balance sheet valuation and income measurement in order to enhance students' ability to use financial accounting as a management tool. Prerequisite: ACCTG 501. Corequisite: FIN 501 or 503. Students may receive credit for only two of the following three courses: ACCTG 610, 614 and 615.","(fi 6) ",,
,,"Intermediate Financial Accounting I",,ACCTG,614,,,3,"either term",2016-2017,,"First of two courses covering the theory, methods, strengths, and weaknesses of current Generally Accepted Accounting Principles (GAAP). Prerequisite: ACCTG 501. Students may receive credit for only two of ACCTG 610, 614, and 615.","(fi 6) ",,
,,"Intermediate Financial Accounting II",,ACCTG,615,,,3,"either term",2016-2017,,"Second of two courses covering theory, methods, strengths, and weaknesses of current Generally Accepted Accounting Principles (GAAP). Prerequisite: ACCTG 614. Students may receive credit for only two of the following three courses: ACCTG 610, 614, and 615.","(fi 6) ",,
,,"Seminar in Financial Accounting Theory",,ACCTG,616,,,3,"either term",2016-2017,,"The theory and propositions underlying current financial accounting practices and alternative theories of accounting measurement as proposed in the literature. The function of accounting in relation to the decision processes of the principal external users of accounting data is considered. Prerequisites: ACCTG 614 or 610, FIN 501 or 503.","(fi 6) ",,
,,"Seminar in Advanced Accounting Issues",,ACCTG,618,,,3,"either term",2016-2017,,"The application of accounting methods to incorporate investments and other advanced topics in financial reporting. Prerequisites: ACCTG 615.","(fi 6) ",,
,,"Seminar in Management Accounting",,ACCTG,624,,,3,"either term",2016-2017,,"Seminar consisting of topics concerned at an advanced level with generating and using accounting and related data in the planning and control functions of organizations. Prerequisite: ACCTG 523.","(fi 6) ",,
,,"Performance Management",,ACCTG,625,,,3,"either term",2016-2017,,"Addresses advanced topics in performance management including identification of organizational reporting systems to meet strategic goals, cost management, and measurement of performance on both an organizational and individual level. Open to students enrolled in the MAcc program only.","(fi 6) ",,
,,"Seminar in Managerial Control",,ACCTG,626,,,3,"either term",2016-2017,,"Current research and cases in managerial accounting. Prerequisites: ACCTG 523.","(fi 6) ",,
,,"Financial Statement Analysis",,ACCTG,630,,,3,"either term",2016-2017,,"Develops students' competence in analyzing financial statements and using financial information to make investment decisions, both equity and debt. The primary thrust of the course is aimed at equity investments. Students learn a five step process of analysis for equity investments: (1) An examination of the firm's industry, markets and strategy, (2) An evaluation of the firm's accounting policies and their impact on the financial reports, (3) Applying fundamental analysis to assess financial strengths and weaknesses, (4) Forecasting future earnings and cash flows, and (5) Applying valuation models to assess the current price. A comparable process for lending decisions is then developed. Prerequisite: ACCTG 501. Corequisite: FIN 501 or 503.","(fi 6) ",,
,,"Auditing History, Theory, and Current Thought",,ACCTG,656,,,3,"either term",2016-2017,,"Focuses on the external auditor's provision of assurance services on financial information. Topics include: society's demand for various assurance services; the role, profession, ethics, independence and liability of the assurance provider; assurance risk and strategy; assurance planning, operations and reports; computerization and internal control; and emerging assurance services. Prerequisite: ACCTG 614 or 610.","(fi 6) ",,
,,"Advanced Auditing",,ACCTG,657,,,3,"either term",2016-2017,,"Covers advanced topics in internal control/audit, external assurance engagements, audit and assurance service planning, and preparation of financial reports. Analysis of accounting policies and transactions and the role of audit committees and other corporate governance mechanisms will be discussed. Open to students enrolled in the MAcc program only.","(fi 6) ",,
,,"Accounting for Natural Resources, Energy and the Environment",,ACCTG,663,,,3,"either term",2016-2017,,"This course covers accounting rules and practice in the area of natural resources, energy and the environment. Some topics include mineral rights and exploration costs, emissions trading, environmental reporting and liabilities. While it does contain technical material, it is meant for both accounting and non-accounting students. Both International and U.S. generally accepted accounting principles (GAAP) will be explored. The focus will be on understanding how firms in this area report their natural resource assets and related liabilities. Prerequisite: ACCTG 501.","(fi 6) ",,
,,"Basic Income Tax",,ACCTG,667,,,3,"either term",2016-2017,,"Examines the concepts, regulations and interpretations underlying individual and corporate income tax from the tax professional's perspective. Topics include: structure of the Income Tax Act, residency requirements, employment income, business and property income, capital gains, and the calculation of tax payable for individuals. Tax planning is introduced and opportunities for tax planning are identified where appropriate as topics are covered. Prerequisite: ACCTG 614 or 610.","(fi 6) ",,
,,"Corporate Taxation",,ACCTG,668,,,3,"either term",2016-2017,,"A study of the major tax concepts behind the specific provisions of the Income Tax Act in the taxation of corporations, corporate distributions and transactions between corporations and their shareholders. Emphasis on applying the Act in practical problems and case settings. Prerequisite: ACCTG 667.","(fi 6) ",,
,,"Selected Topics in Accounting",,ACCTG,686,,,3,"either term",2016-2017,,"Topics may vary from year to year. Students should check with the MBA Office for pre/corequisites of specific sections.","(fi 6) ",,
,,"CPA Capstone 1",,ACCTG,688,,,3,"either term",2016-2017,,"Covers topics as required for the Capstone 1 module of the CPA Professional Education Program. Open to students enrolled in the MAcc program only.","(fi 6) ",,
,,"CPA Capstone 2",,ACCTG,689,,,3,"either term",2016-2017,,"Covers topics as required for the Capstone 2 module of the CPA Professional Education Program. Open to students enrolled in the MAcc program only.","(fi 6) ",,
,,"The Methodological Foundations of Accounting Research",,ACCTG,701,,,3,"either term",2016-2017,,"Because the practice of accounting and the use of accounting information are complex and multifaceted, a wide variety of research approaches provide an understanding of accounting. These approaches are primarily in the social sciences, but also in mathematics and some of the humanities, such as history and philosophy. The purpose of this course is to examine some of the fundamental ideas and concepts underlying the research process in accounting. It focuses on the philosophy of the social sciences, since they provide the core of theory and methods for accounting research. Topics include the objectives of social science research; the nature and role of theories; the relationship between facts and values; theory construction, testing, falsification and inference; positivist vs. non-positivist methods; social studies of science and scientists; and research ethics (including research involving human subjects). The emphasis is on the scientific method broadly construed and applied, rather than on specific techniques. Open to all doctoral students or with written permission of the instructor. Approval of the Business PhD Program Director is also required for non-PhD students.","(fi 6) ",,
,,"Accounting Research Workshop",,ACCTG,703,,,3,"two term",2016-2017,,"Based on the Department's research workshop program, this course will discuss research methodology as it applies to accounting and ensure students learn how to review/evaluate current research and literature. Students are expected to present their own research and to analyze the research of others. This workshop is a single term course offered over two terms. Students are expected to attend regularly throughout their doctoral program, but register for credit in their second year (prior to taking accounting comprehensive examination).","(fi 6) ",,
,,"Individual Research",,ACCTG,705,,,3,"either term",2016-2017,,,"(fi 6) ",,
,,"Behavioral Research in Accounting",,ACCTG,706,,,3,"either term",2016-2017,,"A generalist course on research that is primarily oriented to individual behavior in accounting settings. Topics covered will include individual cognitive processes and limitations, the experimental method, and a broad survey of experimental studies (drawing on psychology and economics) conducted in accounting settings. Open to all doctoral students or with the written permission of the instructor. Approval of the Business PhD Program Director is also required for non-PhD students.","(fi 6) ",,
,,"Introduction to Accounting in its Organizational and Social Context",,ACCTG,707,,,3,"either term",2016-2017,,"A generalist course that examines historical, sociological and organizational perspectives on accounting. Topics covered will vary, but will include the development of accounting thought, historical and field methods in accounting research, theories of accounting change, political economy of accounting, and analysis of the accounting profession and regulatory institutions. Open to all doctoral students or with the written permission of the instructor. Approval of the Business PhD Program Director is also required for non-PhD students.","(fi 6) ",,
,,"Introduction to Financial Economics Based Research in Accounting",,ACCTG,708,,,3,"either term",2016-2017,,"An introductory course on research that examines the role of accounting information in market economies and organizations. Topics covered will vary, but will include the theory and developments underlying financial economic research and a broad survey of empirical and analytical studies conducted in accounting settings. Open to all doctoral students or with the written permission of the instructor. Approval of the Business PhD Program Director is also required for non-PhD students.","(fi 6) ",,
,,"Seminar on Judgement and Decision Making Research in Accounting",,ACCTG,711,,,3,"either term",2016-2017,,"Judgement and Decision Making research draws on theories in psychology, economics, statistics and cognitive science to examine issues in accounting and auditing. Reviews work on a range of issues such as accountability, fraud detection, accounting policy choice, the effect of discretion in accounting rules on decisions made by managers, investors and auditors, and how well auditors can assess the knowledge and/or preferences of other agents. Students may conduct an empirical study (e.g., an experiment, survey, simulation or case study) as part of the course. Some literature in behavioral finance and marketing may also be covered. Pre or corequisite: MGTSC 705 (or equivalent). Open to all doctoral students or with the written permission of the instructor. Approval of the Business PhD Program Director is also required for non-PhD students.","(fi 6) ",,
,,"Financial Accounting",,ACCTG,820,,,3,"either term",2016-2017,,"Reporting of financial results of operations and financial positions to investors and managers; the use of accounting information for decision making. Restricted to Executive MBA students only.","(fi 32) ",,
,,"Organization Planning and Control",,ACCTG,830,,,3,"either term",2016-2017,,"Implementing financial performance measurement, evaluation and control systems, and organizational designs that enhance performance; understanding organizational structures and processes. Restricted to Executive MBA students only.","(fi 32) ",,
,,"Fondements légaux de l'économie canadienne",,ADMI,301,,,3,"l'un ou l'autre semestre",2016-2017,,"Étude synoptique du système légal canadien, mettant l'accent sur les considérations sous-jacentes de politique sociale. Tout en considérant la nature, les sources, et la philosophie du droit, ainsi que les objectifs des politiques qu'il codifie, des sujets choisis dans les champs de la responsabilité civile délictuelle et contractuelle seront analysés. Note: Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour B LAW 301.","(fi 6) ",,
,,"Introduction à la finance",,ADMI,302,,,3,"l'un ou l'autre semestre",2016-2017,,"Différents types de titres boursiers et méthodes d'évaluation de base. Évaluation et sélection d'actifs matériels et intellectuels. Fonctionnement et efficience des marchés financiers. Mesures de risque et méthode de réduction du risque. Politique de financement, incluant le choix entre l'endettement et les fonds propres. Note: On s'attend à ce que les étudiants soient familiers avec les logiciels informatiques de base. Préalable(s): STAT 151 ou équivalent. Autres cours préalable(s) ou concomitant(s): MGTSC 312, ACCTG 300 ou ACCTG 311.","(fi 6) ",,
,,"Introduction à la comptabilité",,ADMI,311,,,3,"l'un ou l'autre semestre",2016-2017,,"Postulats, principes, cycle comptable, calcul du capital et du revenu, préparation et analyse d'un état financier, instance sur les rapports à présenter aux actionnaires et autres agents externes détenant des pouvoirs de décision. Préalable(s): ECONE 101/102. Note: Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour ACCTG 311.","(fi 6) ",,
,,"Gestion et méthodes de contrôle",,ADMI,322,,,3,"l'un ou l'autre semestre",2016-2017,,"Objectifs d'une entreprise, concepts de planification et de contrôle, accumulation des coûts en vue de l'établissement des prix et de l'évaluation du prix de revient des produits. Préalable(s): ADMI 311 ou ACCTG 311. Note: Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour ACCTG 322.","(fi 6) ",,
,,"Introduction au Commerce International",,ADMI,342,,,3,"l'un ou l'autre semestre",2016-2017,,"Introduction aux outils requis pour réussir dans un monde des affaires de plus en plus international. Sert de tremplin à des cours plus avancés en affaires internationales. Les sujets couverts incluent les différences entre les pays, le commerce international, l´investissement direct étranger, l´intégration économique internationale, le marché des changes, et la stratégie et les opérations en affaires internationales. Note : Ce cours n´est pas accessible aux étudiants ayant ou postulant des crédits pour BUEC 342.","(fi 6) ",,
,,"Stratégie d'entreprise",,ADMI,441,,,3,"l'un ou l'autre semestre",2016-2017,,"Examine les décisions prises par les directions d'entreprises et met l'accent sur le développement de stratégies d'affaires et corporatives. Intègre les principes de gestion étudiés dans le tronc commun en administration des affaires, en utilisant des études de cas. Pourra inclure des invités de l'Université et du monde des affaires. Préalable(s): FIN 301, MARK 301, SMO 201 or 310. Note: Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour SMO 441.","(fi 6) ",,
,,"Commerce international",,ADMI,444,,,3,"l'un ou l'autre semestre",2016-2017,,"Problèmes et opportunités lorsqu'une entreprise opère dans plus d'un pays: le choix à faire entre opérer à l'étranger, l'exportation et l'utilisation de licences; nature et causes de l'émergence des nouveaux marchés de capitaux; institutions internationales facilitant le financement de l'exportation; programmes de stabilisation des prix des produits de base; implications des politiques commerciales, fiscales et d'intégration pour les décisions d'entreprises; aspects de la gestion internationale, incluant la couverture contre le risque de fluctuation des taux de change, coûts de transfert et choix de structure de capital optimale. Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour BUEC 444.","(fi 6) ",,
,,"Stratégies concurrentielles en commerce international",,ADMI,445,,,3,"l'un ou l'autre semestre",2016-2017,,"Le processus de conception et d'exécution de stratégies compétitives par des firmes opérant dans plusieurs pays ou globalement. Accent sur les cadres de stratégies concurrentielles, les formes changeantes de la compétition internationale, les niveaux d'analyse de la compétition internationale, la formulation et l'exécution de stratégies compétitives internationales. La matière est illustrée par des études de cas spéciaux de firmes canadiennes. Préalable(s): BUEC 311. Note: Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour BUEC 445.","(fi 6) ",,
,,"L'énergie et l'environnement: Structure industrielle, performance et défis",,ADMI,463,,,3,"l'un ou l'autre semestre",2016-2017,,"Dans ce cours on utilise les outils de l'économique pour obtenir une meilleure compréhension des marchés et de l'industrie de l'énergie. Les différences et similarités entre les industries (pétrole, gaz naturel, électricité, etc.) et entre les différents segments (exploration, production, vente) sont expliquées. On y analyse les grands défis de l'industrie, entre autres la question environnementale et la mondialisation des marchés et les nouvelles formes de la concurrence. On verra comment cette transformation de l'industrie affectera les performances et stratégies de l'industrie. Préalable(s): ECONE 281 ou ECON 281 ou BUEC 311.","(fi 6) ",,
,,"L'entreprise et le gouvernement au Canada",,ADMI,479,,,3,"l'un ou l'autre semestre",2016-2017,,"Analyse de l'interaction entre l'entreprise et l'administration publique. On s'intéresse en particulier à la dynamique d'ajustement de la firme et du gouvernement dans les changements d'environnement et de politiques. Les motivations et comportements des décideurs publics et des personnes responsables de l'application des mesures sont présentés dans le contexte d'interaction entre les différents groupes impliqués. Sont posées les bases d'une analyse de l'efficacité des différentes politiques, tant fiscales que réglementaires, visant la firme. On y aborde aussi les conséquences des changements de l'environnement économique, technologique et social pour la firme. Préalable(s): ECONE 281 ou BUEC 311. Note: Ce cours n'est pas accessible aux étudiants ayant ou postulant des crédits pour BUEC 479.","(fi 6) ",,
,,"Formal Agreement Registration",,AGRMT,900,,,0,,2016-2017,,"This course is reserved for University of Alberta graduate students participating in an approved program administered under a formal agreement between the University of Alberta and other institution(s), who wish to maintain part-time registration at the University of Alberta while studying at an approved partner institution. Closed to web registration. Registration is recommended to the FGSR by the student's home unit.","(fi 0) ",,
,,"Formal Agreement Registration",,AGRMT,909,,,0,,2016-2017,,"This course is reserved for University of Alberta graduate students participating in an approved program administered under a formal agreement between the University of Alberta and other institution(s), who wish to maintain full-time registration at the University of Alberta while studying at an approved partner institution. Closed to web registration. Registration is recommended to the FGSR by the student's home unit.","(fi 0) ",,
,,"The Plate, the Planet and Society",,AREC,173,,,3,"either term",2016-2017,,"A cornerstone course that provides an introduction to social perspectives on everything from what we eat for breakfast to how we protect endangered species and agricultural landscapes. Topics covered include current issues around food production and consumption and issues related to sustainability of our natural and social systems. Debates over new technologies (e.g., GMOs, nanotechnology), food, environment, and health can only be understood in the context of political, economic and personal decisions.","(fi 6) ",,
,,"Current Economic Issues for Agriculture and Food",,AREC,200,,,3,"second term",2016-2017,,"Applications of economic principles to problems and current issues relating to agriculture, food and the environment. Prerequisite: ECON 101 or consent of Department. Credit will only be given for one of AREC 200 and AG EC 200.","(fi 6) ",,
,,"Applications of Linear Models to Food, Resources and the Environment",,AREC,214,,,3,"either term",2016-2017,,"An introduction to methods and tools that are used to solve linear quantitative problems. Emphasis is on the use of these techniques for economic analysis in applications related to agriculture, food, forestry, and the environment. Classroom examples, laboratory assignments and computer tutorials are provided to give practice in applying quantitative tools to empirical problems. Prerequisite: Mathematics 30-1. Credit will be granted for only one of AREC 214 and AG EC 316.","(fi 6) ",,
,,"Social and Economic Issues of Food Biotechnology",,AREC,250,,,3,"either term",2016-2017,,"This course will provide an introduction to the economics and business concepts in the biotechnology industry with an emphasis on food produced using genetic modification and other food technologies. The basic science behind GM foods will be discussed, but most of the material will focus on the social, economic, environmental, and legal issues surrounding GM foods. Key questions will be addressed using peer-reviewed literature and case studies, and the material will be presented from various disciplinary viewpoints.","(fi 6) ",,
,,"Statistical Analysis",,AREC,313,,,3,"first term",2016-2017,,"Analysis of economic data relating to renewable resource sectors including agriculture, food, forestry, and the environment; collection of data, sampling methods, tests of hypotheses, index numbers, analysis of variance, regression, and correlation; time series analysis. Prerequisite: Introductory statistics course. Credit will only be given for one of AREC 313 and AG EC 416.","(fi 6) ",,
,,"Introduction to Management for Agri-Food, Environmental, and Forestry Businesses",,AREC,323,,,3,"either term",2016-2017,,"Principles and practical aspects of business management, and their relevance to the managing businesses involved in a variety of industries, including agriculture, environment, food, and forestry. Topics include business planning and organizing, and issues related to the management of financial, physical, and human resources. Prerequisite: ECON 101. Not open to students in BSc Agriculture Business Management, Food Business Management, or Forest Business Management.","(fi 6) ",,
,,"Economics of Production and Resource Management",,AREC,333,,,3,"first term",2016-2017,,"Application of economic concepts and introduction of management tools related to production decision-making for resource-based businesses. Integration of biophysical and environmental relationships with economic objectives in allocating resources. Introduction to quantitative tools used in applied production management decision-making. Prerequisite: One of the following: AREC 200, AG EC 200, ECON 281, INT D 365, AREC 365 or equivalent. Credit will only be given for one of AREC 333 and AG EC 333.","(fi 6) ",,
,,"Natural Resource Economics",,AREC,365,,,3,"either term",2016-2017,,"Economics of natural resources; resource scarcity, conservation, sustainability, water resource issues, fisheries, forestry, agriculture, recycling, property and tenure institutions, and public resource policy. Credit will be given for only AREC 365 and ECON 365. Prerequisite: ECON 101.","(fi 6) ",,
